agent,episode,num_nodes,num_services,episodes,seed,reward,placed_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,0,5,8,50,333,-66.83368296319523,0.625,3,3,0.48023,0.49144875,0.721725,0.7875,0.2328184826211184,0.24430777874691179,0,12.004027046055125,2.010724798334192,5,45.70402704605513,7.6556159206122505
Random,1,5,8,50,333,-82.2554375052745,0.75,2,4,0.4432825,0.52692375,0.8073,0.92355,0.23352052634618653,0.30529349343091144,2,20.32365456039834,3.3208585883003825,4,45.32365456039834,7.405825908561821
Random,2,5,8,50,333,-125.8628742073702,0.875,1,4,0.5630325,0.44955999999999996,0.911725,0.9575875,0.29454196407303324,0.2957563422185567,1,31.888291530739913,4.168404121665348,4,54.28829153073991,7.096508696828746
Random,3,5,8,50,333,-108.12071092480846,0.5,4,3,0.452705,0.41778250000000006,0.8940250000000001,0.6604375,0.3137959354421278,0.18757480351182565,1,6.50609278092763,0.9456530204836671,9,66.30609278092763,9.637513485599944
Random,4,5,8,50,333,-12.562599086497597,1.0,0,5,0.55704,0.51185,0.784325,0.8349625,0.26518849173748094,0.16914580526131887,1,37.98843080404628,6.3525804020144285,0,37.98843080404628,6.3525804020144285
Random,5,5,8,50,333,-69.39275900713137,0.875,1,4,0.54369,0.633675,0.9149499999999999,0.8469375,0.22782889994467337,0.21310013740610306,2,31.83293470801763,5.4884370186237295,2,48.432934708017626,8.35050598414097
Random,6,5,8,50,333,-119.90172431122829,0.5,4,4,0.5851825,0.46938500000000005,0.9185000000000001,0.7201125,0.25766209189556777,0.2037868471896555,1,22.832606574376104,3.2711470736928523,6,63.3326065743761,9.073439337303167
Random,7,5,8,50,333,-176.37760561690493,0.875,1,5,0.5963974999999999,0.75849625,0.7457,0.9655,0.16758720834240304,0.23590160063308174,3,17.178626167867705,2.9669475246749055,3,35.678626167867705,6.162111600667997
Random,8,5,8,50,333,-88.98311540475336,0.625,3,4,0.46269,0.42708499999999994,0.9011,0.65145,0.3051656687768138,0.2082646635593758,1,15.766290825230096,2.6997073330873453,5,51.366290825230095,8.79559774404625
Random,9,5,8,50,333,-61.75058830091373,0.75,2,3,0.40130750000000004,0.44831875,0.88335,0.7219249999999999,0.2628866837156268,0.2512403379361085,1,13.701339625058143,2.075960549251234,6,52.00133962505814,7.878990852281536
Random,10,5,8,50,333,-121.37001095362638,0.875,1,4,0.52169,0.6293725,0.8785000000000001,0.981575,0.2458060895299382,0.19918992701690513,2,16.368895478994528,2.886930419575755,2,26.96889547899453,4.756418955730958
